date	Temp
2018-05-07	12.9
2018-05-08	14.6
2018-05-09	12.1
2018-05-10	13.1
2018-05-11	12.5
2018-05-12	12.1
2018-05-13	12.8
2018-05-14	15.1
2018-05-15	17.3
2018-05-16	15.8
2018-05-17	13.6
2018-05-18	15.6
2018-05-19	14.8
2018-05-20	13.6
2018-05-21	13.8
2018-05-22	17.8
2018-05-23	17.8
2018-05-24	20.3
2018-05-25	22.8
2018-05-26	19.7
2018-05-27	15.0
2018-05-28	20.9
2018-05-29	23.6
2018-05-30	19.5
2018-05-31	18.2
2018-06-01	20.9
2018-06-02	16.3
2018-06-03	19.4
2018-06-04	23.2
2018-06-05	19.8
2018-06-06	19.7
2018-06-07	20.1
2018-06-08	20.3
2018-06-09	20.3
2018-06-10	18.7
2018-06-11	18.7
2018-06-12	18.4
2018-06-13	15.1
2018-06-14	18.4
2018-06-15	15.1
2018-06-16	16.6
2018-06-17	19.2
2018-06-18	19.7
2018-06-19	20.0
2018-06-20	16.5
2018-06-21	17.0
2018-06-22	17.8
2018-06-23	20.1
2018-06-24	20.8
2018-06-25	23.0
2018-06-26	23.1
2018-06-27	24.5
2018-06-28	25.1
2018-06-29	23.9
2018-06-30	23.6
2018-07-01	24.8
2018-07-02	26.7
2018-07-03	23.6
2018-07-04	23.6
2018-07-05	22.3
2018-07-06	21.3
2018-07-07	22.2
2018-07-08	25.0
2018-07-09	24.8
2018-07-10	23.5
2018-07-11	22.6
2018-07-12	22.9
2018-07-13	21.1
2018-07-14	22.6
2018-07-15	18.1
2018-07-16	19.6
2018-07-17	20.2
2018-07-18	20.5
2018-07-19	21.7
2018-07-20	22.5
2018-07-21	23.8
2018-07-22	26.6
2018-07-23	22.0
2018-07-24	21.6
2018-07-25	21.5
2018-07-26	21.1
2018-07-27	18.0
2018-07-28	18.3
2018-07-29	19.1
2018-07-30	18.1
2018-07-31	18.4
2018-08-01	17.2
2018-08-02	19.5
2018-08-03	23.6
2018-08-04	21.1
2018-08-05	20.7
2018-08-06	21.3
2018-08-07	18.1
2018-08-08	18.1
2018-08-09	17.9
2018-08-10	19.5
2018-08-11	17.9
