date,ind,rain,ind,temp,ind,wetb,dewpt,vappr,rhum,msl,ind,wdsp,ind,wddir,ww,w,sun,vis,clht,clamt
01-jan-2019 00:00,0,0,0,8.5,0,7.1,5.5,9,81,1037.5,2,4,2,240,2,11,0,25000,20,8
01-jan-2019 01:00,0,0,0,8.5,0,7.1,5.5,9,81,1037.4,2,3,2,270,2,11,0,25000,19,8
01-jan-2019 02:00,0,0,0,8.4,0,7.2,5.7,9.2,83,1037.3,2,3,2,280,2,11,0,25000,18,8
01-jan-2019 03:00,0,0,0,8.5,0,6.7,4.4,8.4,75,1037.3,2,5,2,260,2,11,0,25000,20,8
01-jan-2019 04:00,0,0,0,8.5,0,6.7,4.3,8.4,75,1037.3,2,5,2,270,2,11,0,25000,20,8
01-jan-2019 05:00,0,0,0,8.2,0,6.6,4.6,8.5,78,1037.4,2,3,2,290,2,11,0,25000,20,8
01-jan-2019 06:00,0,0,0,8,0,6.4,4.3,8.3,78,1037.5,2,2,2,330,2,11,0,25000,22,8
01-jan-2019 07:00,0,0,0,7.9,0,6.2,4.1,8.1,76,1038.1,2,4,2,310,2,11,0,25000,22,8
01-jan-2019 08:00,0,0,0,8,0,6.1,3.6,7.9,74,1038.6,2,3,2,320,2,11,0,25000,22,7
01-jan-2019 09:00,0,0,0,7.9,0,6.3,4.2,8.3,78,1039.3,2,2,2,10,2,11,0,30000,21,7
01-jan-2019 10:00,0,0,0,8,0,6.2,3.9,8,75,1039.5,2,2,2,20,2,11,0,35000,22,7
01-jan-2019 11:00,0,0,0,8.2,0,6.5,4.3,8.3,77,1039.5,2,3,2,270,2,11,0,40000,22,7
01-jan-2019 12:00,0,0,0,8.4,0,6.6,4.2,8.3,75,1039.3,2,2,2,270,2,11,0,45000,22,7
01-jan-2019 13:00,0,0,0,8.4,0,6.7,4.6,8.4,77,1039.1,2,3,2,250,2,11,0,45000,21,7
01-jan-2019 14:00,0,0,0,8.5,0,6.7,4.5,8.4,75,1039.1,2,2,2,260,2,11,0,45000,21,7
01-jan-2019 15:00,0,0,0,8.3,0,6.7,4.8,8.5,78,1039.2,2,3,2,320,2,11,0,45000,21,7
01-jan-2019 16:00,0,0,0,8.3,0,6.7,4.6,8.5,78,1039.5,2,2,2,260,2,11,0,45000,21,7
01-jan-2019 17:00,0,0,0,8.1,0,6.7,4.9,8.7,81,1040,2,2,2,330,2,11,0,45000,21,7
01-jan-2019 18:00,0,0,0,8.1,0,6.6,4.6,8.5,79,1040.3,2,3,2,340,2,11,0,45000,21,7
01-jan-2019 19:00,0,0,0,8.1,0,6.5,4.5,8.4,78,1040.7,2,3,2,310,2,11,0,45000,21,7
01-jan-2019 20:00,0,0,0,8,0,6.6,4.8,8.6,80,1041.2,2,3,2,320,2,11,0,45000,20,7
01-jan-2019 21:00,0,0,0,7.8,0,6.5,4.8,8.6,82,1041.3,2,4,2,350,2,11,0,45000,20,7
01-jan-2019 22:00,2,0,0,7.6,0,6.7,5.6,9.1,87,1041.5,2,3,2,10,50,52,0,16000,22,7
01-jan-2019 23:00,2,0,0,7.3,0,6.8,6.3,9.5,93,1041.9,2,2,2,350,50,52,0,8000,22,7
02-jan-2019 00:00,0,0.1,0,7.5,0,7.3,7,10.1,97,1041.7,2,2,2,10,20,52,0,8000,24,7
02-jan-2019 01:00,0,0.1,0,7.3,0,7.1,6.9,9.9,97,1042.1,2,2,2,340,20,52,0,7000,12,7
02-jan-2019 02:00,0,0.2,0,7.3,0,7.1,6.9,9.9,97,1042.3,2,1,2,290,50,52,0,2500,8,8
02-jan-2019 03:00,0,0.3,0,7.2,0,7,6.8,9.9,97,1042.4,2,1,2,280,50,52,0,700,10,8
02-jan-2019 04:00,0,0.1,0,7,0,6.8,6.6,9.7,97,1042.3,2,3,2,280,58,64,0,3500,10,8
02-jan-2019 05:00,0,0.1,0,7,0,6.9,6.7,9.9,99,1041.9,2,3,2,340,50,52,0,1800,6,8
