date,ind,rain,ind,temp,ind,wetb,dewpt,vappr,rhum,msl,ind,wdsp,ind,wddir,ww,w,sun,vis,clht,clamt
01-jan-2020 00:00,3,0,0,5.7,0,5.4,5.1,8.7,95,1029.4,2,5,2,60,10,11,0,6000,23,7
01-jan-2020 01:00,0,0,0,6,0,5.3,4.4,8.3,89,1029,2,6,2,50,2,11,0,20000,23,7
01-jan-2020 02:00,0,0,0,6.4,0,5.4,4.1,8.2,85,1028.4,2,4,2,50,2,11,0,20000,22,7
01-jan-2020 03:00,0,0,0,5.9,0,5.2,4.2,8.3,89,1028,2,3,2,70,2,11,0,20000,22,7
01-jan-2020 04:00,0,0,0,5.7,0,5.1,4.2,8.3,91,1027.6,2,3,2,110,2,11,0,20000,22,7
01-jan-2020 05:00,0,0,0,5.8,0,5,4,8.1,88,1028.1,2,2,2,110,2,11,0,20000,21,7
01-jan-2020 06:00,0,0,0,5.8,0,5.1,4.1,8.2,89,1028,2,2,2,160,2,11,0,20000,21,7
01-jan-2020 07:00,0,0,0,6.4,0,5.3,3.9,8,84,1027.6,2,5,2,100,2,11,0,20000,20,7
01-jan-2020 08:00,0,0,0,6.5,0,5.4,3.8,8.1,84,1027.4,2,5,2,100,2,11,0,30000,20,7
01-jan-2020 09:00,0,0,0,6.4,0,5.5,4.4,8.3,86,1027.4,2,4,2,100,2,11,0,30000,22,8
01-jan-2020 10:00,0,0,0,6.9,0,6,4.8,8.6,87,1027.3,2,5,2,110,2,11,0,30000,20,7
01-jan-2020 11:00,0,0,0,7.4,0,6.6,5.7,9.1,88,1027.4,2,5,2,140,2,11,0,30000,23,7
01-jan-2020 12:00,0,0,0,8.4,0,7.7,6.9,9.9,90,1026.1,2,6,2,150,2,11,0,20000,24,7
01-jan-2020 13:00,0,0,0,9.2,0,8.3,7.4,10.2,88,1025.2,2,7,2,170,2,11,0,35000,23,7
01-jan-2020 14:00,0,0,0,9.1,0,8.2,7.1,10.1,88,1025,2,8,2,190,2,11,0,40000,22,7
01-jan-2020 15:00,0,0,0,9.1,0,7.9,6.6,9.7,84,1024.6,2,7,2,190,2,11,0.1,45000,23,7
01-jan-2020 16:00,0,0,0,8.6,0,7.8,6.9,9.9,89,1023.9,2,7,2,180,2,11,0,45000,240,7
01-jan-2020 17:00,3,0,0,7.7,0,7.3,6.9,9.9,94,1023.7,2,8,2,190,2,11,0,40000,20,5
01-jan-2020 18:00,3,0,0,8.2,0,7.9,7.5,10.4,96,1023.2,2,9,2,180,2,11,0,35000,15,6
01-jan-2020 19:00,3,0,0,8.4,0,7.7,6.8,9.9,90,1023.1,2,11,2,190,2,11,0,30000,15,7
01-jan-2020 20:00,0,0,0,8.1,0,7.3,6.3,9.6,89,1022.3,2,12,2,180,2,11,0,25000,12,7
01-jan-2020 21:00,2,0,0,7.2,0,6.8,6.4,9.6,94,1021.6,2,15,2,180,21,62,0,20000,11,7
01-jan-2020 22:00,2,0,0,7.2,0,6.8,6.4,9.6,94,1020.9,2,15,2,180,21,62,0,7000,8,7
01-jan-2020 23:00,2,0,0,7.6,0,7.1,6.5,9.7,93,1020.2,2,12,2,190,60,62,0,20000,10,7
02-jan-2020 00:00,2,0,0,7.8,0,7.5,7.1,10.1,96,1019.4,2,13,2,190,21,62,0,20000,7,7
02-jan-2020 01:00,0,0.1,0,8,0,7.6,7.2,10.1,94,1018.2,2,15,2,190,20,52,0,20000,7,7
02-jan-2020 02:00,2,0,0,8.2,0,7.9,7.5,10.4,96,1017.4,2,13,2,180,50,52,0,5000,5,7
02-jan-2020 03:00,0,0.1,0,8.1,0,7.9,7.7,10.5,97,1016.3,2,12,2,180,50,52,0,4000,4,7
02-jan-2020 04:00,0,0.2,0,8.4,0,8.3,8.1,10.9,99,1015.2,2,12,2,190,51,55,0,2500,3,7
